2022-05-19 01:05:217 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 01:05:694 INFO  HomePage :32 - Sending Username to user filed : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='user-name']]
2022-05-19 01:05:760 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='password']]
2022-05-19 01:05:873 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='login-button']]
2022-05-19 01:05:967 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 01:05:15 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 01:05:64 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 01:05:123 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 01:05:178 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //button[@id='checkout']]
2022-05-19 01:05:259 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='first-name']]
2022-05-19 01:05:324 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='last-name']]
2022-05-19 01:05:385 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='postal-code']]
2022-05-19 01:05:442 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //input[@id='continue']]
2022-05-19 01:05:493 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //button[@id='finish']]
2022-05-19 01:05:512 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (dce7d77e32b580097fc6eaa0c7c0718f)] -> xpath: //h2[@class='complete-header']]
2022-05-19 09:05:756 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 09:05:119 INFO  HomePage :32 - Sending Username to user filed : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //input[@id='user-name']]
2022-05-19 09:05:225 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //input[@id='password']]
2022-05-19 09:05:430 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //input[@id='login-button']]
2022-05-19 09:05:684 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 09:05:760 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 09:05:820 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (201b2fdebdde3db1cfd7bee3c80ae8dd)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
